bench-size,solver-version,Runtime (s),Reported Runtime (s),runtime-difference,runtime-difference-%,Num. variables,Num. constraints,bench-size-category
SWITCH-3-zone-toy-3-6ts,highs-1.6.0.dev0,0.0094453700003214,0.0031123161315917,0.006333053868729701,67.04929365937178,618,775,S
SWITCH-3-zone-toy-3-6ts,scip-8.1.0,0.0254393340001115,0.009618,0.0158213340001115,62.192406452315765,618,775,S
SWITCH-3-zone-toy-3-6ts,cbc-2.10.11,0.0475579560006735,0.03,0.017557956000673502,36.91907196437301,618,775,S
pglib_opf_case1951_rte-1951-NA,gurobi-11.0.0,322.4239221530006,322.3669319152832,0.056990237717400305,0.017675561210485052,7509,17528,S
pglib_opf_case1951_rte-1951-NA,scip-8.1.0,463.5214678259945,463.427321,0.09414682599447133,0.02031121156826634,7509,17528,S
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,gurobi-11.0.0,50.059351240008255,49.79883098602295,0.2605202539853053,0.5204227532559257,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,highs-1.6.0.dev0,636.6208134820045,636.5188488960266,0.1019645859778393,0.01601653351861729,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,scip-8.1.0,821.5806390000071,821.440705,0.1399340000070879,0.017032290363780917,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,cbc-2.10.11,603.330819507988,603.2,0.1308195079880079,0.021682881722284678,19392,25080,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,gurobi-11.0.0,11.001982191010027,8.238142013549805,2.7638401774602226,25.121292958632672,452854,456603,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,highs-1.6.0.dev0,163.39186999000958,161.26940727233887,2.1224627176707145,1.299001423877755,452854,456603,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,scip-8.1.0,353.40871299800347,350.25131,3.1574029980034766,0.8934140223139643,452854,456603,M
pypsa-power+ely+battery-1-1h,gurobi-11.0.0,15.976819603994954,14.904258012771606,1.072561591223348,6.7132359118278915,87606,201486,M
pypsa-power+ely+battery-1-1h,highs-1.6.0.dev0,27.335159308000584,26.448842525482178,0.8863167825184064,3.2424057695504085,87606,201486,M
pypsa-power+ely+battery-1-1h,scip-8.1.0,161.3508247879945,160.625091,0.7257337879944998,0.449786227587043,87606,201486,M
pypsa-power+ely-1-1h,gurobi-11.0.0,4.6257300110009965,4.036407947540283,0.5893220634607133,12.74008777120966,61325,140165,M
pypsa-power+ely-1-1h,highs-1.6.0.dev0,4.644617762998678,4.018896579742432,0.6257211832562461,13.471962929674225,61325,140165,M
pypsa-power+ely-1-1h,scip-8.1.0,86.39582090899057,85.878518,0.5173029089905725,0.5987591801870832,61325,140165,M
Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon48_Day29-73-1h,gurobi-12.0.0,355.34363918501185,354.688658952713,0.6549802322988398,0.18432304959814416,35280,39168,M
SWITCH-3-zone-toy-3-6ts,gurobi-12.0.0,0.1508140939986333,0.0044898986816406,0.1463241953169927,97.02289185141989,618,775,S
SWITCH-3-zone-toy-3-6ts,highs-1.9.0,0.0098579960031202,0.0032017230987548,0.0066562729043654,67.52156221465897,618,775,S
SWITCH-3-zone-toy-3-6ts,scip-9.2.0,0.0277008460107026,0.0095859999999999,0.0181148460107027,65.3945587210722,618,775,S
SWITCH-3-zone-toy-3-6ts,cbc-2.10.12,0.0656611869926564,0.03,0.0356611869926564,54.31090820311363,618,775,S
pglib_opf_case1951_rte-1951-NA,gurobi-12.0.0,454.4423902419949,454.3860611915589,0.056329050435977024,0.012395201602117547,7509,17528,S
pglib_opf_case1951_rte-1951-NA,scip-9.2.0,470.3723859680031,470.27647,0.09591596800305524,0.020391496368492152,7509,17528,S
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,gurobi-12.0.0,64.55413207798847,64.32757592201233,0.22655615597614087,0.35095531251575995,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,highs-1.9.0,427.1747785930056,426.9976861476898,0.17709244531579316,0.041456671645991414,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,scip-9.2.0,826.322075819,826.175312,0.14676381900005708,0.0177610913825089,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,cbc-2.10.12,609.0886120840005,608.8,0.2886120840005333,0.04738425218837128,19392,25080,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,gurobi-12.0.0,10.817711415002124,8.033715963363647,2.783995451638477,25.735530786831685,452854,456603,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,highs-1.9.0,153.70197538299544,150.30839109420776,3.393584288787679,2.207898942308013,452854,456603,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,scip-9.2.0,353.1771179669886,350.060731,3.116386966988614,0.882386431184339,452854,456603,M
pypsa-power+ely+battery-1-1h,gurobi-12.0.0,17.030032908005523,16.014941930770874,1.0150909772346495,5.960593163372414,87606,201486,M
pypsa-power+ely+battery-1-1h,highs-1.9.0,28.144725600999664,27.00066351890564,1.144062082094024,4.064925337390351,87606,201486,M
pypsa-power+ely+battery-1-1h,scip-9.2.0,161.4971814150049,160.77338,0.7238014150048855,0.44818207269197347,87606,201486,M
pypsa-power+ely-1-1h,gurobi-12.0.0,4.441572316005477,3.8278541564941406,0.6137181595113361,13.817587913626111,61325,140165,M
pypsa-power+ely-1-1h,highs-1.9.0,4.972537870999076,4.173490762710571,0.7990471082885051,16.06920106026184,61325,140165,M
pypsa-power+ely-1-1h,scip-9.2.0,86.51520516400342,86.006986,0.508219164003421,0.5874333454333377,61325,140165,M
Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon48_Day29-73-1h,gurobi-13.0.0,897.6514113220037,897.3510000705719,0.3004112514317967,0.033466359841106935,35280,39168,M
SWITCH-3-zone-toy-3-6ts,gurobi-13.0.0,0.1605400330154225,0.0043580532073974,0.1561819798080251,97.28537915089457,618,775,S
SWITCH-3-zone-toy-3-6ts,highs-1.12.0,0.0128482549916952,0.0064191818237304,0.0064290731679648,50.03849294803378,618,775,S
SWITCH-3-zone-toy-3-6ts,scip-10.0.0,0.0181966500240378,0.009616,0.008580650024037802,47.15510829027734,618,775,S
pglib_opf_case1951_rte-1951-NA,gurobi-13.0.0,2.4483423130004667,2.392904996871948,0.055437316128518876,2.2642796243871604,7509,17528,S
pglib_opf_case1951_rte-1951-NA,scip-10.0.0,462.7064499640255,462.607451,0.09899896402549757,0.021395630865572446,7509,17528,S
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,gurobi-13.0.0,46.578936956997495,46.34453511238098,0.2344018446165137,0.503235711096021,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,highs-1.12.0,447.5005121330032,447.3906185626984,0.10989357030479141,0.024557194310456915,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,scip-10.0.0,823.3618708489812,823.213742,0.14812884898117318,0.017990734599895333,19392,25080,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,gurobi-13.0.0,9.593139803997474,6.942401885986328,2.6507379180111457,27.63159895685644,452854,456603,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,highs-1.12.0,184.8692537680036,182.3879792690277,2.4812744989758926,1.3421780249568689,452854,456603,M
times-etimeseu-europe-elec+heat-single_stage-29-64ts,scip-10.0.0,353.0876431250072,349.725159,3.3624841250071995,0.952308637948212,452854,456603,M
pypsa-power+ely+battery-1-1h,gurobi-13.0.0,17.17853591000312,16.083613872528076,1.094922037475044,6.373779716800354,87606,201486,M
